Date,Category,Amount,Payment_Mode
2024-04-01,Food,250,UPI
2024-04-02,Transport,120,Cash
2024-04-03,Food,300,UPI
2024-04-04,Bills,1800,UPI
2024-04-05,Food,350,UPI
2024-04-06,Entertainment,700,Card
2024-04-07,Food,500,Cash
2024-04-08,Transport,110,UPI
2024-04-09,Shopping,1200,Card
2024-04-10,Bills,2000,UPI
2024-04-11,Food,320,UPI
2024-04-12,Entertainment,650,Card
2024-04-13,Food,550,Cash
2024-04-14,Shopping,900,Card
2024-04-15,Bills,1700,UPI
2024-04-16,Transport,140,Cash
2024-04-17,Food,400,UPI
2024-04-18,Entertainment,750,Card
2024-04-19,Shopping,1300,Card
2024-04-20,Food,600,Cash
2024-04-21,Bills,1600,UPI
2024-04-22,Transport,150,UPI
2024-04-23,Food,350,Cash
2024-04-24,Shopping,1400,Card
2024-04-25,Entertainment,800,Card
2024-04-26,Food,650,UPI
2024-04-27,Bills,1900,UPI
2024-04-28,Transport,180,Cash
2024-04-29,Food,370,UPI
2024-04-30,Shopping,1500,Card
