Date,Category,Amount,Payment_Mode
2024-01-01,food,250,UPI
2024-01-02, Transport ,120,Cash
2024-01-03,FOOD,300,UPI
2024-01-04,Bills,1800,UPI
2024-01-05,,350,UPI
2024-01-06,Entertainment,abc,Card
2024-01-07,Food,500,Cash
2024-01-08,Transport,110,UPI
2024-01-09,Shopping,1200,Card
2024-01-10,Bills,2000,UPI
2024-01-11,Food,320,UPI
2024-01-12,Entertainment,650,Card
2024-01-13,Food,550,Cash
2024-01-14,shopping,900,Card
2024-01-15,Bills,1700,UPI
2024-01-16,Transport,140,Cash
2024-01-17,Food,400,UPI
2024-01-18,Entertainment,750,Card
2024-01-19,Shopping,1300,Card
2024-01-20,Food,-600,Cash
2024-01-21,Bills,1600,UPI
2024-01-22,Transport,150,UPI
2024-01-23,Food, ,Cash
2024-01-24,Shopping,1400,Card
2024-01-25,Entertainment,800,Card
2024-01-26,Food,650,UPI
2024-01-27,Bills,1900,UPI
2024-01-28,Transport,180,Cash
2024-01-29,Food,370,UPI
2024-01-30,Shopping,1500,Card

2024-02-01,FOOD,280,UPI
2024-02-02,Transport,140,Cash
2024-02-03,Shopping,900,Card
2024-02-04,Bills,2000,UPI
2024-02-05,Food,350,UPI
2024-02-06,Entertainment,800,Card
2024-02-07,Food,500,Cash
2024-02-08,Transport,110,UPI
2024-02-09,Shopping,1300,Card
2024-02-10,Bills,2100,UPI
2024-02-11,Food,400,UPI
2024-02-12,Entertainment,750,Card
2024-02-13,Food,550,Cash
2024-02-14,Shopping,1200,Card
2024-02-15,Bills,1900,UPI
2024-02-16,Transport,160,Cash
2024-02-17,Food,450,UPI
2024-02-18,Entertainment,700,Card
2024-02-19,Shopping,1500,Card
2024-02-20,Food,600,Cash
2024-02-21,Bills,1800,UPI
2024-02-22,Transport,170,UPI
2024-02-23,Food,350,Cash
2024-02-24,Shopping,1600,Card
2024-02-25,Entertainment,850,Card
2024-02-26,Food,650,UPI
2024-02-27,Bills,1700,UPI
2024-02-28,Transport,190,Cash

2024-02-28,Transport,190,Cash
